,player,country_of_origin,team,league,position,age_category
1164,Diego López,ESP,Rayo Vallecano,La Liga,Goalkeeper,seniors
1165,Diego López,ESP,Rayo Vallecano,La Liga,Goalkeeper,seniors
1166,Diego López,ESP,Rayo Vallecano,La Liga,Goalkeeper,seniors
1167,Isaac Palazón Camacho,ESP,Rayo Vallecano,La Liga,Forward,middle_age
1168,Adrià Pedrosa,ESP,Espanyol,La Liga,Defence,young
1169,Beñat Turrientes,ESP,Real Sociedad,La Liga,Midfield,young
1170,Alfonso Espino,URU,Cádiz,La Liga,Defence,middle_age
1171,Fali,ESP,Cádiz,La Liga,Defence,middle_age
1172,Rodri,ESP,Betis,La Liga,Forward,young
1173,Rodri,ESP,Betis,La Liga,Forward,young
1174,Rodri,ESP,Betis,La Liga,Forward,young
1175,Rodri,ESP,Betis,La Liga,Forward,young
1176,Rodri,ESP,Manchester City,Premier League,Midfield,middle_age
1177,Rodri,ESP,Manchester City,Premier League,Midfield,middle_age
1178,Rodri,ESP,Manchester City,Premier League,Midfield,middle_age
1179,Rodri,ESP,Manchester City,Premier League,Midfield,middle_age
1180,Óscar Plano,ESP,Valladolid,La Liga,Forward,middle_age
1181,Álex Fernández,ESP,Cádiz,La Liga,Midfield,middle_age
1182,Gonzalo Plata,ECU,Valladolid,La Liga,Forward,young
1183,Jordi Masip,ESP,Valladolid,La Liga,Goalkeeper,seniors
1184,Bernardo Espinosa,COL,Girona,La Liga,Defence,seniors
1185,José Gragera,Unknown,Espanyol,La Liga,Midfield,young
1186,Jesus Vazquez,ESP,Valencia,La Liga,Defence,young
1187,Isaac Carcelen,ESP,Cádiz,La Liga,Defence,middle_age
1188,Raúl Guti,ESP,Elche,La Liga,Midfield,young
1189,Toni Villa,ESP,Girona,La Liga,Midfield,middle_age
1190,Toni Villa,ESP,Girona,La Liga,Midfield,middle_age
1191,Toni Villa,ESP,Girona,La Liga,Midfield,middle_age
1192,Toni Villa,ESP,Girona,La Liga,Midfield,middle_age
1193,Iván Alejo,ESP,Cádiz,La Liga,Midfield,middle_age
1194,Kike Barja,ESP,Osasuna,La Liga,Forward,young
1195,Selim Amallah,MAR,Valladolid,La Liga,Midfield,young
1196,Sergio Camello,ESP,Rayo Vallecano,La Liga,Forward,young
1197,Lucas Torró,ESP,Osasuna,La Liga,Midfield,middle_age
1198,Lago Junior,CIV,Mallorca,La Liga,Forward,middle_age
1199,Iván Balliu,ALB,Rayo Vallecano,La Liga,Defence,middle_age
1200,Jørgen Strand Larsen,NOR,Celta Vigo,La Liga,Forward,young
1201,Paul Akouokou,CIV,Betis,La Liga,Midfield,young
1202,Dani Rodríguez,ESP,Mallorca,La Liga,Midfield,seniors
1203,Juanpe,ESP,Girona,La Liga,Defence,middle_age
1204,Cyle Larin,CAN,Valladolid,La Liga,Forward,middle_age
1205,Kike Pérez,ESP,Valladolid,La Liga,Midfield,young
1206,Zouhair Feddal,MAR,Valladolid,La Liga,Defence,seniors
1207,Amath,SEN,Mallorca,La Liga,Midfield,middle_age
1208,Julen Agirrezabala,ESP,Athletic Club,La Liga,Goalkeeper,young
1209,Aleix García,ESP,Girona,La Liga,Midfield,young
1210,Roberto Navarro,ESP,Real Sociedad,La Liga,Midfield,young
1211,Álvaro Giménez,ESP,Cádiz,La Liga,Forward,middle_age
1212,José Mari,ESP,Cádiz,La Liga,Midfield,seniors
1213,Arnau Martinez,ESP,Girona,La Liga,Defence,young
1214,Óscar Valentín,ESP,Rayo Vallecano,La Liga,Midfield,middle_age
1215,Keidi Bare,ALB,Espanyol,La Liga,Midfield,young
1216,Iago Herrerín,ESP,Valencia,La Liga,Goalkeeper,seniors
1217,Juan Cruz,ESP,Betis,La Liga,Forward,young
1218,Juanjo Narváez,COL,Valladolid,La Liga,Midfield,middle_age
1219,Sergi Guardiola,ESP,Valladolid,La Liga,Forward,middle_age
1220,Sergi Guardiola,ESP,Valladolid,La Liga,Forward,middle_age
1221,Sergi Guardiola,ESP,Valladolid,La Liga,Forward,middle_age
1222,Sergi Guardiola,ESP,Valladolid,La Liga,Forward,middle_age
1223,Antonio Sánchez,ESP,Mallorca,La Liga,Midfield,young
1224,Iván Martos,ESP,Almería,La Liga,Defence,young
1225,Awer Mabil,AUS,Cádiz,La Liga,Midfield,middle_age
1226,Jon Ander Garrido,ESP,Cádiz,La Liga,Midfield,seniors
1227,Lautaro Blanco,ARG,Elche,La Liga,Defence,young
1228,César de la Hoz,ESP,Almería,La Liga,Midfield,middle_age
1229,Diego Mariño,ESP,Almería,La Liga,Goalkeeper,seniors
1230,Javi Puado,ESP,Espanyol,La Liga,Forward,young
1231,Juan Carlos,ESP,Girona,La Liga,Goalkeeper,seniors
1232,Aimar Oroz,Unknown,Osasuna,La Liga,Midfield,young
1233,Matija Nastasić,SRB,Mallorca,La Liga,Defence,middle_age
1234,Lázaro,BRA,Almería,La Liga,Forward,young
1235,Rodrigo Riquelme,ESP,Girona,La Liga,Midfield,young
1236,Catena,ESP,Rayo Vallecano,La Liga,Defence,middle_age
1237,Antonio Blanco,Unknown,Cádiz,La Liga,Midfield,young
1238,Arnau Tenas,ESP,Barcelona,La Liga,Goalkeeper,young
1239,Iván Martín,ESP,Girona,La Liga,Midfield,young
1240,Abdul Mumin,GHA,Rayo Vallecano,La Liga,Defence,young
1241,Pep Chavarría,ESP,Rayo Vallecano,La Liga,Forward,young
1242,Mohamed Ali Cho,FRA,Real Sociedad,La Liga,Forward,young
1243,Daniel Martín,ESP,Betis,La Liga,Goalkeeper,young
1244,Ángel Rodríguez,ESP,Mallorca,La Liga,Forward,seniors
1245,Pere Milla,ESP,Elche,La Liga,Forward,middle_age
1246,José Pozo,ESP,Rayo Vallecano,La Liga,Midfield,middle_age
1247,Pathé Ciss,SEN,Rayo Vallecano,La Liga,Midfield,middle_age
1248,Jaume Costa,ESP,Mallorca,La Liga,Defence,seniors
1249,Miguel Gutiérrez,ESP,Girona,La Liga,Defence,young
1250,Esteban Saveljich,MNE,Rayo Vallecano,La Liga,Forward,middle_age
1251,David Gil,ESP,Cádiz,La Liga,Goalkeeper,middle_age
1252,Lucas Boyé,ARG,Elche,La Liga,Forward,middle_age
1253,José Carlos Lazo,ESP,Espanyol,La Liga,Midfield,middle_age
1254,José Carlos Lazo,ESP,Espanyol,La Liga,Midfield,middle_age
1255,José Carlos Lazo,ESP,Espanyol,La Liga,Midfield,middle_age
1256,José Carlos Lazo,ESP,Espanyol,La Liga,Midfield,middle_age
1257,Chris Ramos,ESP,Cádiz,La Liga,Forward,young
1258,Joaquín Fernández,ESP,Valladolid,La Liga,Defence,middle_age
1259,Monchu,ESP,Valladolid,La Liga,Midfield,young
1260,Dominik Greif,SVK,Mallorca,La Liga,Goalkeeper,young
1261,El Bilal Touré,MLI,Almería,La Liga,Forward,young
1262,Houboulang Mendes,GNB,Almería,La Liga,Defence,young
1263,Borja García,ESP,Girona,La Liga,Midfield,middle_age
1264,Salvi,ESP,Rayo Vallecano,La Liga,Forward,middle_age
1265,Carlos Dominguez,ESP,Celta Vigo,La Liga,Defence,young
1266,Shon Weissman,ISR,Valladolid,La Liga,Forward,middle_age
1267,Tete Morente,ESP,Elche,La Liga,Midfield,young
1268,Bebé,CPV,Rayo Vallecano,La Liga,Forward,seniors
