Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Keke Maximilian Topp,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.16,0,0.16,0.16,0.16
Ibrahim Maza,2,0,71,0.8,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,2,0,1,1.27,0,1.27,1.27,1.27,1.03,0,1.03,1.03,1.03
Noussair Mazraoui,19,11,1075,11.9,1,4,5,1,0,0,0,0,1.1,1.1,1.9,3,39,99,81,0.08,0.33,0.42,0.08,0.42,0.09,0.16,0.25,0.09,0.25
Noah Mbamba,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Manuel Mbom,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nathanael Mbuku,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Thomas Meunier,10,7,585,6.5,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.7,9,30,45,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12
Alexander Meyer,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sven Michel,21,2,495,5.5,3,1,4,2,1,1,2,0,1.7,0.9,0.9,1.8,9,12,50,0.55,0.18,0.73,0.36,0.55,0.3,0.16,0.46,0.16,0.32
Enzo Millot,23,9,890,9.9,0,1,1,0,0,0,3,0,1.2,1.2,1.6,2.8,23,29,58,0,0.1,0.1,0,0.1,0.12,0.16,0.29,0.12,0.29
Maximilian Mittelstädt,17,7,849,9.4,0,0,0,0,0,0,5,0,0.3,0.3,0.8,1.1,29,37,29,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12
Anthony Modeste,19,7,813,9,2,1,3,2,0,0,4,0,4.3,4.3,1.1,5.4,3,8,36,0.22,0.11,0.33,0.22,0.33,0.48,0.12,0.6,0.48,0.6
Tobias Mohr,18,8,839,9.3,0,3,3,0,0,0,0,0,0.6,0.6,1.6,2.2,20,28,39,0,0.32,0.32,0,0.32,0.07,0.17,0.24,0.07,0.24
Clinton Mola,1,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florent Mollet,9,4,410,4.6,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.7,6,14,24,0.22,0,0.22,0.22,0.22,0.08,0.08,0.16,0.08,0.16
Youssoufa Moukoko,26,11,1141,12.7,7,3,10,7,0,0,0,0,6.4,6.4,1.8,8.2,9,11,61,0.55,0.24,0.79,0.55,0.79,0.5,0.14,0.65,0.5,0.65
Florian Müller,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0
Thomas Müller,27,21,1665,18.5,7,8,15,7,0,0,0,0,8.9,8.9,6.6,15.5,33,88,182,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84
Jamal Musiala,33,26,2198,24.4,12,10,22,12,0,0,1,0,8,8,6.6,14.6,89,124,196,0.49,0.41,0.9,0.49,0.9,0.33,0.27,0.6,0.33,0.6
Marlon Mustapha,6,0,69,0.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,5,2,9,0,0,0,0,0,0.7,0.34,1.04,0.7,1.04
Obite N'Dicka,30,30,2692,29.9,1,0,1,1,0,0,4,0,1.4,1.4,0.2,1.6,16,94,5,0.03,0,0.03,0.03,0.03,0.05,0.01,0.05,0.05,0.05
Nathan N'Goumou,20,7,695,7.7,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.2,23,14,63,0.13,0,0.13,0.13,0.13,0.11,0.04,0.15,0.11,0.15
Stanley N'Soki,19,14,1286,14.3,1,0,1,1,0,0,2,1,0.5,0.5,0.3,0.8,17,64,10,0.07,0,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06
Nikolas Nartey,9,5,473,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,7,22,20,0,0,0,0,0,0.05,0.05,0.11,0.05,0.11
Luca Netz,20,7,702,7.8,1,3,4,1,0,0,0,0,1,1,1.2,2.2,12,12,32,0.13,0.38,0.51,0.13,0.51,0.13,0.15,0.28,0.13,0.28
Manuel Neuer,12,12,1080,12,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Florian Neuhaus,23,16,1405,15.6,1,0,1,1,0,0,2,0,2,2,2.3,4.3,26,78,56,0.06,0,0.06,0.06,0.06,0.13,0.15,0.27,0.13,0.27
Jessic Ngankam,18,8,826,9.2,4,0,4,3,1,1,5,0,4.1,3.3,0.3,3.7,9,7,42,0.44,0,0.44,0.33,0.33,0.45,0.04,0.49,0.36,0.4
